"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.240607200E-2,6.506680697E-2,-5.101091042E-2,-5.194352940E-2
3.489501300E-2,5.785566568E-2,-4.907905683E-2,-5.022817850E-2
3.739562300E-2,5.211006850E-2,-4.929555953E-2,-4.929555953E-2
3.988516500E-2,4.729709029E-2,-5.112748966E-2,-4.718051106E-2
4.238028300E-2,4.633116350E-2,-5.497454107E-2,-4.411619529E-2
4.487271500E-2,4.586485401E-2,-6.243548915E-2,-4.396630824E-2
4.737023200E-2,4.543185234E-2,-6.789796799E-2,-4.128503054E-2
4.986522800E-2,4.763016850E-2,-7.632484287E-2,-4.046898708E-2
5.235993800E-2,4.956202209E-2,-8.580091596E-2,-3.752124682E-2
5.485574700E-2,5.174368247E-2,-9.462748468E-2,-3.790428862E-2
5.735041600E-2,5.570731312E-2,-1.018552855E-1,-3.628885746E-2
5.982738600E-2,5.872166902E-2,-1.086833850E-1,-3.440696746E-2
6.234057000E-2,6.241883710E-2,-1.131133214E-1,-3.334111720E-2
6.482413000E-2,6.558308005E-2,-1.192752644E-1,-3.397396579E-2
6.731526000E-2,6.903043389E-2,-1.218233109E-1,-3.317457810E-2
6.981416200E-2,7.369352877E-2,-1.224061996E-1,-3.264165297E-2
7.230899400E-2,7.652468979E-2,-1.192253083E-1,-3.279154003E-2
7.480407000E-2,7.910604775E-2,-1.156447157E-1,-3.412384912E-2
7.729931000E-2,8.102124929E-2,-1.099157706E-1,-3.362423554E-2
7.979812900E-2,8.266998082E-2,-1.035373285E-1,-3.575593233E-2
8.229048000E-2,8.486829698E-2,-9.780838341E-2,-3.392400593E-2
8.478453900E-2,8.481834084E-2,-8.753292263E-2,-3.540620208E-2
8.728266700E-2,8.341941237E-2,-7.817342877E-2,-3.279154003E-2
8.979515900E-2,7.822339237E-2,-6.250210851E-2,-2.727909572E-2
9.229035800E-2,6.564969569E-2,-3.590581939E-2,-1.092496142E-2
9.478555700E-2,5.024483055E-2,-9.842458181E-3,4.213437904E-3
9.728014400E-2,3.723813221E-2,1.367285568E-2,1.938514598E-2
9.975532400E-2,2.418147027E-2,3.024349175E-2,3.390735015E-2
1.022496270E-1,1.417247299E-2,4.599808529E-2,4.776339978E-2
1.047446630E-1,3.197549842E-3,5.680647120E-2,5.938782543E-2
1.072422220E-1,-6.062021479E-3,6.613265723E-2,7.167840749E-2
1.097554460E-1,-1.537155453E-2,7.064586133E-2,8.346936852E-2
1.122656180E-1,-2.614662983E-2,7.304402441E-2,9.526033700E-2
1.147761570E-1,-3.510643169E-2,7.181163877E-2,1.030710191E-1
1.172567070E-1,-4.433269426E-2,6.818109006E-2,1.115645096E-1
1.197518240E-1,-5.412518978E-2,6.230225787E-2,1.208573878E-1
1.222291600E-1,-6.261868030E-2,5.211006850E-2,1.272524893E-1
1.247424250E-1,-6.991308928E-2,4.166806862E-2,1.345802099E-1
1.272209820E-1,-7.444295287E-2,2.677947842E-2,1.412417740E-1
1.297319670E-1,-7.975555211E-2,1.244046725E-2,1.488359421E-1
1.322278170E-1,-8.188725263E-2,-2.198315458E-3,1.536489278E-1
1.347454360E-1,-8.428541571E-2,-1.951837726E-2,1.584785581E-1
1.372174410E-1,-8.310298622E-2,-3.697166964E-2,1.642241627E-1
1.397077980E-1,-7.907274365E-2,-5.154383555E-2,1.670553237E-1
1.422072690E-1,-7.397664338E-2,-6.571631134E-2,1.704194099E-1
1.447028330E-1,-6.714854389E-2,-7.923927903E-2,1.720348299E-1
1.471996600E-1,-5.947109312E-2,-8.889854699E-2,1.744496524E-1
1.496929050E-1,-4.991175234E-2,-9.617630392E-2,1.767312437E-1
1.521681240E-1,-3.965294734E-2,-9.852450341E-2,1.765980124E-1
1.546825290E-1,-3.050995432E-2,-9.377814084E-2,1.813443750E-1
1.571781350E-1,-1.925191469E-2,-8.984781802E-2,1.834594160E-1
1.596349630E-1,-7.327718195E-3,-8.500152826E-2,1.870233566E-1
1.621680840E-1,3.980283160E-3,-7.654134929E-2,1.872565001E-1
1.646423680E-1,1.781967841E-2,-6.544984877E-2,1.881391555E-1
1.671574240E-1,2.821171470E-2,-5.299272388E-2,1.861073822E-1
1.696532320E-1,3.993606195E-2,-4.041902721E-2,1.820937991E-1
1.721229590E-1,5.112748966E-2,-2.746228874E-2,1.762316227E-1
1.746432640E-1,6.072013825E-2,-1.408920344E-2,1.670386642E-1
1.771203540E-1,7.042936236E-2,-1.398927998E-3,1.570629776E-1
1.796327250E-1,8.038839698E-2,9.559341706E-3,1.460380852E-1
1.821279230E-1,8.581756800E-2,2.146688290E-2,1.340805888E-1
1.845969580E-1,9.083040059E-2,3.110949509E-2,1.197415739E-1
1.871186460E-1,9.552679956E-2,3.675516695E-2,1.044865996E-1
1.895872740E-1,9.554345161E-2,4.176799208E-2,8.776608109E-2
1.921078230E-1,9.529364109E-2,4.598142952E-2,7.131201774E-2
1.945779550E-1,9.249578416E-2,4.886255786E-2,5.342572555E-2
1.970715270E-1,8.633384109E-2,5.071114004E-2,3.593912721E-2
1.995935000E-1,7.880628109E-2,4.816309363E-2,1.727009937E-2
2.020868260E-1,6.929689646E-2,4.736370593E-2,-1.132465550E-3
2.045567160E-1,5.923793837E-2,4.483231157E-2,-1.913533732E-2
2.070788110E-1,4.729709029E-2,4.260068759E-2,-3.635547310E-2
2.095475190E-1,3.469008207E-2,3.823736683E-2,-5.262633786E-2
2.120681900E-1,1.858575828E-2,3.324119374E-2,-6.453388184E-2
2.145374290E-1,5.429172888E-3,2.729574963E-2,-7.775708288E-2
2.170583430E-1,-1.025880501E-2,2.083403431E-2,-8.951473981E-2
2.195539890E-1,-2.596343681E-2,1.370616350E-2,-9.795826674E-2
2.220646500E-1,-3.980283067E-2,6.328484043E-3,-1.054858342E-1
2.245435730E-1,-5.590716004E-2,-7.827335503E-4,-1.111648157E-1
2.270381200E-1,-6.986313313E-2,-9.209609590E-3,-1.128468588E-1
2.295335220E-1,-8.233690262E-2,-1.445558947E-2,-1.125637442E-1
2.320288430E-1,-9.522702545E-2,-2.328215912E-2,-1.122806296E-1
2.345031260E-1,-1.051694080E-1,-2.894448675E-2,-1.095993444E-1
2.370194030E-1,-1.124138609E-1,-3.299138695E-2,-1.046864465E-1
2.394896590E-1,-1.168437973E-1,-3.668855131E-2,-1.017553583E-1
2.419833510E-1,-1.207408085E-1,-4.036906362E-2,-9.724214673E-2
2.445041440E-1,-1.216734275E-1,-4.021918029E-2,-9.181297570E-2
2.469575950E-1,-1.188589185E-1,-4.086868092E-2,-8.585087955E-2
2.494938080E-1,-1.141625196E-1,-3.902009875E-2,-8.055493981E-2
2.519862400E-1,-1.097159237E-1,-3.477335349E-2,-7.687442750E-2
2.544839620E-1,-1.028378606E-1,-2.774540521E-2,-7.239452749E-2
2.569837590E-1,-9.541022032E-2,-1.951837726E-2,-6.869735569E-2
2.594485200E-1,-8.585087955E-2,-1.169104129E-2,-6.450057030E-2
2.619695570E-1,-7.439298928E-2,-2.997702977E-4,-6.042036787E-2
2.644639020E-1,-5.947109312E-2,1.040869020E-2,-5.742266402E-2
2.669590590E-1,-4.708058760E-2,2.246611752E-2,-5.427507684E-2
2.694542580E-1,-2.949406579E-2,3.340773284E-2,-5.152717978E-2
2.719235780E-1,-1.417247299E-2,4.503215849E-2,-4.784666747E-2
2.744450210E-1,2.864471637E-3,5.184360594E-2,-4.603139311E-2
2.769335870E-1,1.871898957E-2,6.173602492E-2,-4.248411208E-2
2.794341980E-1,3.332446516E-2,6.778139621E-2,-3.827067465E-2
2.819300880E-1,4.716385901E-2,7.489261031E-2,-3.392400593E-2
2.844063250E-1,5.973755568E-2,7.787366211E-2,-3.062653169E-2
2.869198750E-1,7.007963210E-2,8.315294981E-2,-2.599674463E-2
2.894138530E-1,7.958900928E-2,8.535125852E-2,-2.176665328E-2
2.919094170E-1,8.493491262E-2,8.413552493E-2,-1.740333065E-2
2.944048200E-1,8.974789083E-2,8.385241032E-2,-1.275689155E-2
2.969022160E-1,9.281221032E-2,8.197052032E-2,-6.395099685E-3
2.993951760E-1,9.026416391E-2,7.975555211E-2,-5.662327749E-4
3.018640890E-1,8.704996109E-2,7.819008082E-2,3.414050443E-3
3.043846380E-1,8.047166467E-2,7.439298928E-2,9.259571321E-3
3.068803640E-1,7.415983826E-2,6.899712980E-2,1.285681408E-2
3.093724300E-1,6.360126287E-2,6.749827415E-2,1.841921918E-2
3.118700300E-1,4.994506016E-2,6.295175850E-2,2.294908091E-2
3.143389820E-1,3.480666131E-2,5.775574222E-2,2.866137028E-2
3.168598160E-1,2.086734213E-2,5.227660760E-2,3.252507746E-2
3.193552590E-1,2.797855996E-3,4.751358926E-2,3.743797913E-2
3.218253520E-1,-1.405589562E-2,4.551512003E-2,3.797090426E-2
3.243448420E-1,-3.195884451E-2,4.433269426E-2,4.183460772E-2
3.268326760E-1,-4.854613170E-2,4.006929323E-2,4.528196901E-2
