"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.708736900E-2,-1.485901475E-1,7.698106766E-1,9.775525093E0
1.958272900E-2,-1.375917792E-1,8.067711592E-1,9.766996384E0
2.207809000E-2,-1.050456017E-1,8.518868685E-1,9.746496201E0
2.457345100E-2,-9.419687092E-2,8.708160520E-1,9.723751068E0
2.706881100E-2,-9.988310188E-2,9.028384686E-1,9.681777954E0
2.952994800E-2,-1.284638792E-1,9.135375619E-1,9.650578499E0
3.202539100E-2,-1.009305641E-1,9.262567759E-1,9.602843285E0
3.452006000E-2,-9.487023950E-2,9.427917600E-1,9.576432228E0
3.701509600E-2,-9.232640266E-2,9.569324851E-1,9.544111252E0
3.950980700E-2,-1.387140602E-1,9.807248712E-1,9.493758202E0
4.200423200E-2,-1.266682297E-1,9.937433600E-1,9.479393005E0
4.449951200E-2,-8.970774710E-2,9.922469854E-1,9.459191322E0
4.699446700E-2,-6.217442453E-2,9.992051125E-1,9.432855606E0
4.948982800E-2,-5.618892238E-2,1.005115747E0,9.434052467E0
5.198274700E-2,-1.073649824E-1,1.024344206E0,9.414749146E0
5.447928900E-2,-1.086369008E-1,1.018283963E0,9.400459290E0
5.697652200E-2,-1.301098913E-1,1.014692664E0,9.388487816E0
5.946923800E-2,-1.253963113E-1,1.008707047E0,9.394548416E0
6.196423400E-2,-1.040729582E-1,9.860370159E-1,9.404199600E0
6.445943300E-2,-8.641571552E-2,9.503484368E-1,9.445051193E0
6.695581000E-2,-8.200141042E-2,8.958055377E-1,9.508646965E0
6.944901500E-2,-9.524433315E-2,8.857797980E-1,9.623344421E0
7.194942300E-2,-6.913257390E-2,8.694692850E-1,9.714248657E0
7.443908800E-2,-6.194996834E-2,8.725368977E-1,9.828871727E0
7.692350300E-2,-2.027589642E-2,8.572738171E-1,9.895909309E0
7.943802900E-2,7.481880311E-5,8.717138767E-1,9.924564362E0
8.193269900E-2,5.147533491E-2,8.812906742E-1,9.952097893E0
8.442781600E-2,6.105214357E-2,8.786720037E-1,9.925836563E0
8.692264800E-2,6.943184882E-2,8.892962933E-1,9.903091431E0
8.941756300E-2,5.858312175E-2,8.652046323E-1,9.864933968E0
9.191259800E-2,5.386953801E-2,8.818144202E-1,9.842188835E0
9.440791900E-2,5.506663769E-2,8.830863237E-1,9.856479645E0
