"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.706881100E-2,5.101091042E-2,2.241615579E-2,1.345635485E-2
2.952994800E-2,4.743032157E-2,8.693338372E-3,1.310662273E-2
3.202539100E-2,3.995271772E-2,-6.345137954E-3,7.594180759E-3
3.452006000E-2,3.365754336E-2,-2.363189124E-2,7.111217361E-3
3.701509600E-2,2.762882784E-2,-4.135164618E-2,3.730474738E-3
3.950980700E-2,1.853579655E-2,-5.770577863E-2,2.198315458E-3
4.200423200E-2,9.992342442E-3,-7.244448364E-2,3.164242022E-3
4.449951200E-2,-1.498851459E-3,-8.876531571E-2,5.662327749E-4
4.699446700E-2,-9.925727732E-3,-1.049862131E-1,-1.765313908E-3
4.948982800E-2,-2.046764828E-2,-1.199913844E-1,-1.981814625E-3
5.198274700E-2,-3.182561323E-2,-1.355294734E-1,-4.563170020E-3
5.447928900E-2,-4.223430157E-2,-1.494521350E-1,-6.911370438E-3
5.697652200E-2,-5.091098696E-2,-1.640742719E-1,-7.794027682E-3
5.946923800E-2,-6.156948581E-2,-1.758652329E-1,-6.161944941E-3
6.196423400E-2,-6.916366518E-2,-1.898212135E-1,-9.825804271E-3
6.445943300E-2,-7.687442750E-2,-2.000300437E-1,-8.993108757E-3
6.695581000E-2,-8.306967467E-2,-2.070579976E-1,-8.043835871E-3
6.944901500E-2,-8.576761186E-2,-2.099724263E-1,-1.042534411E-2
7.194942300E-2,-8.281987160E-2,-2.083903104E-1,-9.093032219E-3
7.443908800E-2,-7.607503980E-2,-2.000467032E-1,-9.659265168E-3
7.692350300E-2,-7.099559903E-2,-1.847417653E-1,-1.010891981E-2
7.943802900E-2,-6.163610145E-2,-1.669387370E-1,-1.002565026E-2
8.193269900E-2,-5.434169248E-2,-1.429904252E-1,-1.302335318E-2
8.442781600E-2,-4.678081721E-2,-1.171602234E-1,-1.323985402E-2
8.692264800E-2,-4.053560272E-2,-8.931489289E-2,-1.332312357E-2
8.941756300E-2,-3.830398247E-2,-6.238552928E-2,-1.340639312E-2
9.191259800E-2,-3.394065797E-2,-3.572262451E-2,-1.310662273E-2
9.440791900E-2,-2.879460156E-2,-1.095826924E-2,-1.423908863E-2
9.690682000E-2,-2.716251835E-2,8.260336705E-3,-1.257369854E-2
9.939742000E-2,-2.316558175E-2,2.170003764E-2,-1.328981575E-2
1.018926600E-1,-2.214969322E-2,3.197549656E-2,-1.145788655E-2
1.043779300E-1,-2.170003764E-2,3.705493733E-2,-1.042534411E-2
1.068988450E-1,-2.168338373E-2,3.852048144E-2,-1.002565026E-2
1.094053960E-1,-1.970157027E-2,3.570597246E-2,-7.627488580E-3
1.118692220E-1,-2.030110918E-2,2.851148508E-2,-6.012059748E-3
1.143838310E-1,-2.319888957E-2,1.720348373E-2,-5.312595516E-3
1.168787030E-1,-2.694601752E-2,-7.827335503E-4,-3.147588111E-3
1.193727220E-1,-3.139261156E-2,-2.155015245E-2,-9.659265052E-4
1.218900560E-1,-3.923660144E-2,-4.736370593E-2,1.648736536E-3
1.243374840E-1,-4.748028144E-2,-7.425975800E-2,1.465543639E-3
1.268585210E-1,-5.692304671E-2,-1.023382470E-1,2.214969369E-3
1.293532720E-1,-6.611600518E-2,-1.312161088E-1,2.847817726E-3
1.318476560E-1,-7.624157518E-2,-1.582287550E-1,1.065849909E-3
1.343169760E-1,-8.673353493E-2,-1.823102981E-1,-8.326952229E-4
1.368121750E-1,-9.734207392E-2,-2.043933719E-1,-3.414050443E-3
1.393324390E-1,-1.079006493E-1,-2.217967063E-1,-5.345903337E-3
1.418279620E-1,-1.177597642E-1,-2.333378643E-1,-8.343606256E-3
1.443221850E-1,-1.271858662E-1,-2.414150089E-1,-1.110815443E-2
1.467940680E-1,-1.384272575E-1,-2.441295981E-1,-1.320654619E-2
1.492903650E-1,-1.488359421E-1,-2.423143089E-1,-1.427239645E-2
1.518075360E-1,-1.577957422E-1,-2.431803197E-1,-1.440562773E-2
1.542763270E-1,-1.702362150E-1,-2.442794740E-1,-1.320654619E-2
1.567719730E-1,-1.779469699E-1,-2.399494648E-1,-1.627086475E-2
1.592663170E-1,-1.801785976E-1,-2.191154212E-1,-1.367285568E-2
1.617631440E-1,-1.772142053E-1,-1.865403950E-1,-5.046132952E-3
1.642817380E-1,-1.688705981E-1,-1.492189914E-1,3.447358264E-3
1.667773030E-1,-1.554642022E-1,-1.121973544E-1,9.159647860E-3
1.692714850E-1,-1.403257996E-1,-7.562538236E-2,8.243682794E-3
1.717411710E-1,-1.226393580E-1,-3.828732669E-2,5.079440773E-3
1.742369390E-1,-1.036205962E-1,-6.661561783E-4,4.429938737E-3
1.767570400E-1,-9.048066288E-2,3.777105734E-2,1.249042805E-3
1.792269700E-1,-8.145424724E-2,7.853981853E-2,2.048430266E-3
1.817212320E-1,-7.256106287E-2,1.195750386E-1,2.714586444E-3
1.842210290E-1,-6.794793159E-2,1.583786309E-1,4.829632584E-3
1.867107350E-1,-6.601607800E-2,1.973154694E-1,2.847817726E-3
1.892310790E-1,-6.529995799E-2,2.344037145E-1,1.948506921E-3
1.917267260E-1,-6.704862416E-2,2.660461366E-1,2.364854561E-3
1.942207850E-1,-6.906374544E-2,2.956734300E-1,-6.328483578E-4
1.966949870E-1,-7.219468057E-2,3.210373223E-1,-4.563170020E-3
1.991855070E-1,-7.404325902E-2,3.407888412E-1,-8.326952346E-3
2.017059740E-1,-7.835662365E-2,3.533625603E-1,-1.127469353E-2
2.042013760E-1,-8.165409416E-2,3.587084413E-1,-1.460547466E-2
2.066955570E-1,-8.608403057E-2,3.563269377E-1,-1.910202950E-2
2.091690680E-1,-9.041404724E-2,3.509976864E-1,-2.266596444E-2
2.116604010E-1,-9.642610699E-2,3.359592259E-1,-2.724578790E-2
2.141807860E-1,-1.015388593E-1,3.160911202E-1,-3.182561323E-2
2.166757000E-1,-1.084335744E-1,2.903774977E-1,-3.663859144E-2
2.191464450E-1,-1.152450219E-1,2.593179643E-1,-4.011925682E-2
2.216472980E-1,-1.219398901E-1,2.266763002E-1,-4.318357632E-2
2.241652840E-1,-1.294674575E-1,1.904207468E-1,-4.784666747E-2
2.266551120E-1,-1.356627047E-1,1.536322683E-1,-5.116079748E-2
2.291508380E-1,-1.418246478E-1,1.197748855E-1,-5.304268748E-2
2.316449790E-1,-1.461213678E-1,8.603407443E-2,-5.639012158E-2
2.341305350E-1,-1.514839232E-1,5.364222825E-2,-5.865505338E-2
2.366097020E-1,-1.531826109E-1,2.576358989E-2,-6.068683043E-2
2.391299650E-1,-1.542151570E-1,-1.199081191E-3,-6.418415159E-2
2.416254890E-1,-1.537654996E-1,-2.589682117E-2,-6.450057030E-2
2.440943610E-1,-1.514006555E-1,-4.726378247E-2,-6.403426081E-2
2.466137290E-1,-1.499850601E-1,-6.916366518E-2,-6.503349543E-2
